DeviceObj,Circuit,Location,Debug
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.4,4055,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.4,4056,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.4,4059A,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.5,4045,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.5,4056A,
AHU-10 controls,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.5,,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.6,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.7,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.8,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.9,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.10,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.11,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.12,4046,
Outlets,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.13,4046,
Contactor Controls,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.13,4046,
Destratification Fans Library,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.14,3037,
Hand dryer,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.15,4056,
Destratification Fans Library,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.16,3037,
Hand dryer,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.17,4055,
Air conditioning unit,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.18,360,
Air conditioning unit,MSWB.5-DHB.DHB.9-T2CA.T2CA.L2CA.20,360,
